OrderID,OrderDate,Region,Category,Sales
ORD00001,2023-03-27,East,Technology,41.86
ORD00002,2023-07-20,West,Office Supplies,369.73
ORD00003,2023-12-24,West,Technology,270.88
ORD00004,2023-08-06,West,Technology,541.23
ORD00005,2022-07-20,East,Office Supplies,225.5
ORD00006,2022-03-23,West,Furniture,106.61
ORD00007,2023-10-03,West,Office Supplies,146.11
ORD00008,2022-02-17,East,Furniture,297.84
ORD00009,2022-11-26,Central,Office Supplies,49.34
ORD00010,2022-02-14,South,Office Supplies,25.39
ORD00011,2023-12-05,East,Office Supplies,15.42
ORD00012,2023-09-23,South,Furniture,359.57
ORD00013,2022-03-19,South,Office Supplies,117.57
ORD00014,2022-08-03,South,Furniture,321.96
ORD00015,2022-07-30,East,Furniture,223.78
ORD00016,2022-04-24,West,Furniture,265.78
ORD00017,2023-12-02,Central,Office Supplies,28.31
ORD00018,2023-07-28,South,Technology,294.44
ORD00019,2023-12-29,Central,Technology,223.71
ORD00020,2023-09-26,South,Technology,310.54
ORD00021,2022-03-02,East,Technology,476.55
ORD00022,2023-07-26,West,Office Supplies,319.1
ORD00023,2023-02-11,West,Technology,117.39
ORD00024,2022-08-19,Central,Furniture,193.44
ORD00025,2022-08-25,East,Office Supplies,152.87
ORD00026,2023-06-07,South,Technology,397.11
ORD00027,2023-05-28,Central,Furniture,499.47
ORD00028,2023-10-11,Central,Office Supplies,71.87
ORD00029,2023-02-28,South,Furniture,338.57
ORD00030,2023-10-26,West,Office Supplies,364.07
ORD00031,2023-08-14,West,Office Supplies,84.43
ORD00032,2022-07-09,Central,Office Supplies,387.53
ORD00033,2023-11-06,West,Office Supplies,164.04
ORD00034,2022-12-27,East,Technology,487.26
ORD00035,2023-09-07,South,Technology,123.3
ORD00036,2022-03-03,West,Technology,237.65
ORD00037,2023-06-21,South,Office Supplies,71.43
ORD00038,2023-11-17,Central,Technology,117.15
ORD00039,2023-11-10,West,Office Supplies,516.97
ORD00040,2023-02-24,East,Office Supplies,278.68
ORD00041,2022-05-20,West,Technology,677.6
ORD00042,2022-03-29,West,Furniture,18.58
ORD00043,2022-09-08,East,Office Supplies,158.51
ORD00044,2022-02-15,Central,Office Supplies,347.24
ORD00045,2022-01-16,West,Furniture,178.46
ORD00046,2023-11-05,South,Furniture,316.97
ORD00047,2023-08-29,Central,Furniture,299.38
ORD00048,2023-01-15,West,Technology,662.06
ORD00049,2022-08-25,South,Office Supplies,223.12
ORD00050,2022-10-29,South,Office Supplies,333.0
ORD00051,2023-05-19,Central,Office Supplies,111.72
ORD00052,2022-05-16,Central,Technology,536.41
ORD00053,2023-10-31,Central,Technology,69.91
ORD00054,2022-12-14,Central,Office Supplies,389.95
ORD00055,2023-11-16,Central,Technology,91.31
ORD00056,2023-07-04,East,Furniture,402.03
ORD00057,2022-09-15,West,Technology,529.05
ORD00058,2023-10-19,South,Office Supplies,492.64
ORD00059,2023-01-06,East,Furniture,29.73
ORD00060,2022-06-27,East,Furniture,271.94
ORD00061,2023-10-30,South,Technology,606.51
ORD00062,2023-09-02,West,Furniture,19.22
ORD00063,2022-04-16,Central,Furniture,202.29
ORD00064,2023-02-09,South,Furniture,215.24
ORD00065,2022-02-27,West,Technology,322.86
ORD00066,2023-06-13,East,Office Supplies,305.42
ORD00067,2023-04-04,West,Office Supplies,13.03
ORD00068,2022-06-26,Central,Furniture,358.47
ORD00069,2023-03-16,East,Technology,175.7
ORD00070,2022-11-25,West,Technology,262.69
ORD00071,2022-08-13,East,Technology,191.91
ORD00072,2023-12-11,Central,Office Supplies,70.04
ORD00073,2023-01-19,West,Technology,160.37
ORD00074,2023-04-20,Central,Technology,377.58
ORD00075,2023-07-20,East,Furniture,471.88
ORD00076,2022-09-24,Central,Office Supplies,421.64
ORD00077,2023-12-14,West,Technology,150.0
ORD00078,2023-09-10,Central,Furniture,88.92
ORD00079,2022-06-22,East,Office Supplies,320.13
ORD00080,2023-07-21,Central,Office Supplies,46.61
ORD00081,2023-08-27,East,Furniture,355.15
ORD00082,2023-09-06,Central,Office Supplies,329.88
ORD00083,2022-12-17,West,Furniture,533.34
ORD00084,2023-03-21,Central,Office Supplies,96.74
ORD00085,2023-01-25,West,Office Supplies,452.85
ORD00086,2022-06-15,West,Technology,41.37
ORD00087,2022-03-16,East,Furniture,230.8
ORD00088,2023-05-05,Central,Office Supplies,287.25
ORD00089,2023-04-10,East,Technology,397.97
ORD00090,2022-10-26,East,Furniture,352.59
ORD00091,2022-03-12,South,Furniture,70.7
ORD00092,2022-11-04,West,Furniture,234.37
ORD00093,2023-01-27,South,Technology,19.64
ORD00094,2022-03-09,Central,Office Supplies,131.33
ORD00095,2022-03-26,East,Furniture,395.0
ORD00096,2022-09-22,South,Technology,616.12
ORD00097,2023-06-22,Central,Technology,72.98
ORD00098,2022-09-05,Central,Technology,591.14
ORD00099,2023-07-25,West,Furniture,217.77
ORD00100,2022-04-22,Central,Technology,99.72
ORD00101,2022-03-25,East,Furniture,421.84
ORD00102,2023-11-22,Central,Technology,526.92
ORD00103,2023-04-05,West,Furniture,402.18
ORD00104,2022-03-09,South,Furniture,152.22
ORD00105,2023-09-01,West,Office Supplies,496.2
ORD00106,2023-01-06,South,Technology,520.15
ORD00107,2023-05-30,West,Furniture,105.61
ORD00108,2022-03-27,South,Technology,270.15
ORD00109,2022-06-30,South,Furniture,66.8
ORD00110,2023-08-20,Central,Furniture,94.62
ORD00111,2022-11-15,South,Technology,366.81
ORD00112,2022-06-02,East,Furniture,59.23
ORD00113,2023-11-20,West,Furniture,239.45
ORD00114,2023-09-26,Central,Technology,61.67
ORD00115,2023-10-17,East,Office Supplies,470.46
ORD00116,2023-08-03,Central,Technology,576.23
ORD00117,2022-03-08,Central,Technology,463.72
ORD00118,2023-07-19,Central,Furniture,40.96
ORD00119,2023-12-29,Central,Office Supplies,28.51
ORD00120,2023-03-01,East,Technology,510.19
ORD00121,2023-08-10,South,Technology,153.5
ORD00122,2023-08-09,South,Technology,617.99
ORD00123,2022-07-16,East,Office Supplies,103.22
ORD00124,2022-12-18,East,Furniture,340.66
ORD00125,2022-03-11,West,Technology,437.93
ORD00126,2023-07-22,South,Technology,583.92
ORD00127,2022-03-23,Central,Technology,172.73
ORD00128,2022-07-03,Central,Furniture,141.59
ORD00129,2023-05-02,East,Office Supplies,433.55
ORD00130,2022-07-17,South,Technology,26.96
ORD00131,2022-07-12,South,Office Supplies,484.92
ORD00132,2022-08-06,Central,Furniture,236.22
ORD00133,2022-05-20,South,Furniture,120.15
ORD00134,2022-08-26,Central,Furniture,355.67
ORD00135,2023-04-11,East,Office Supplies,433.17
ORD00136,2022-10-20,East,Office Supplies,298.82
ORD00137,2022-01-19,East,Technology,251.3
ORD00138,2023-05-17,South,Furniture,78.01
ORD00139,2023-01-14,West,Furniture,313.31
ORD00140,2023-08-08,West,Office Supplies,136.46
ORD00141,2022-12-02,South,Furniture,154.08
ORD00142,2022-06-18,East,Technology,249.32
ORD00143,2023-01-25,East,Office Supplies,467.98
ORD00144,2022-02-04,East,Furniture,376.52
ORD00145,2022-03-07,South,Technology,176.54
ORD00146,2023-03-05,East,Furniture,227.02
ORD00147,2023-08-28,East,Furniture,420.83
ORD00148,2022-05-09,East,Furniture,403.89
ORD00149,2022-05-18,East,Technology,408.92
ORD00150,2022-06-02,South,Furniture,40.48
ORD00151,2023-11-28,West,Furniture,202.7
ORD00152,2023-09-14,West,Office Supplies,190.53
ORD00153,2022-03-06,West,Furniture,357.17
ORD00154,2023-02-25,South,Furniture,223.9
ORD00155,2022-08-23,West,Furniture,362.41
ORD00156,2022-10-25,West,Technology,163.3
ORD00157,2023-09-28,East,Technology,400.52
ORD00158,2022-10-19,Central,Technology,323.51
ORD00159,2023-10-21,West,Technology,579.67
ORD00160,2023-09-27,Central,Furniture,372.15
ORD00161,2023-04-11,South,Technology,507.27
ORD00162,2022-02-20,South,Office Supplies,339.99
ORD00163,2022-04-21,West,Technology,170.93
ORD00164,2022-11-02,South,Technology,525.41
ORD00165,2022-07-07,South,Office Supplies,315.77
ORD00166,2022-03-03,East,Office Supplies,365.41
ORD00167,2023-06-02,Central,Furniture,182.22
ORD00168,2023-05-14,East,Office Supplies,354.69
ORD00169,2023-08-14,West,Office Supplies,352.33
ORD00170,2022-01-29,South,Office Supplies,268.67
ORD00171,2022-02-18,East,Furniture,349.12
ORD00172,2022-03-17,South,Technology,89.01
ORD00173,2023-10-26,South,Furniture,336.39
ORD00174,2023-06-05,South,Technology,315.45
ORD00175,2022-08-29,West,Technology,542.18
ORD00176,2023-12-08,West,Office Supplies,393.29
ORD00177,2022-05-04,South,Technology,620.65
ORD00178,2022-05-14,East,Furniture,366.48
ORD00179,2023-01-18,West,Office Supplies,177.02
ORD00180,2022-05-03,West,Furniture,399.44
ORD00181,2023-08-11,South,Furniture,153.62
ORD00182,2023-03-08,East,Furniture,234.52
ORD00183,2022-06-05,South,Office Supplies,39.28
ORD00184,2023-02-15,East,Technology,178.63
ORD00185,2023-02-08,West,Office Supplies,451.16
ORD00186,2023-03-17,East,Technology,284.61
ORD00187,2023-04-06,South,Office Supplies,247.2
ORD00188,2023-09-01,East,Office Supplies,485.93
ORD00189,2022-12-15,South,Office Supplies,33.93
ORD00190,2022-01-19,Central,Technology,224.53
ORD00191,2023-12-02,Central,Furniture,58.22
ORD00192,2022-10-20,South,Furniture,269.9
ORD00193,2023-09-10,East,Office Supplies,113.71
ORD00194,2023-04-13,South,Office Supplies,23.11
ORD00195,2023-11-21,East,Technology,575.51
ORD00196,2022-11-08,East,Technology,334.72
ORD00197,2022-05-21,Central,Technology,405.85
ORD00198,2023-02-09,South,Furniture,347.77
ORD00199,2023-07-25,Central,Office Supplies,234.6
ORD00200,2022-06-21,Central,Office Supplies,449.38
ORD00201,2022-08-15,Central,Office Supplies,122.38
ORD00202,2022-02-26,East,Furniture,452.33
ORD00203,2023-08-02,East,Furniture,392.89
ORD00204,2022-11-29,Central,Technology,101.88
ORD00205,2023-01-04,Central,Technology,493.47
ORD00206,2022-06-01,West,Office Supplies,425.88
ORD00207,2023-07-24,Central,Furniture,399.27
ORD00208,2023-05-22,Central,Office Supplies,351.88
ORD00209,2023-05-14,South,Office Supplies,135.14
ORD00210,2022-12-08,Central,Furniture,393.94
ORD00211,2022-02-02,West,Furniture,236.55
ORD00212,2022-05-21,Central,Furniture,475.08
ORD00213,2022-02-04,South,Furniture,346.64
ORD00214,2023-04-26,West,Office Supplies,340.92
ORD00215,2022-07-22,Central,Technology,434.48
ORD00216,2023-10-02,West,Furniture,506.12
ORD00217,2023-06-29,Central,Office Supplies,345.56
ORD00218,2022-06-05,South,Technology,50.3
ORD00219,2023-06-12,East,Furniture,219.59
ORD00220,2022-03-29,South,Office Supplies,387.13
ORD00221,2022-12-31,East,Technology,548.47
ORD00222,2023-11-04,Central,Office Supplies,271.06
ORD00223,2022-03-14,Central,Office Supplies,417.52
ORD00224,2022-05-27,Central,Technology,104.19
ORD00225,2023-12-27,West,Office Supplies,286.13
ORD00226,2022-08-27,Central,Furniture,110.99
ORD00227,2022-01-30,South,Furniture,365.81
ORD00228,2022-11-23,Central,Office Supplies,89.72
ORD00229,2022-11-05,Central,Technology,318.33
ORD00230,2022-09-28,Central,Furniture,73.55
ORD00231,2023-06-11,East,Office Supplies,492.04
ORD00232,2022-11-06,East,Office Supplies,400.81
ORD00233,2023-01-07,South,Technology,440.88
ORD00234,2023-12-12,South,Office Supplies,25.98
